,English,Marathi
0,"abhyasakanna marathicha pahila shilalekh sapadla to mhanje 1) unkeshvaracha shilalekh i.s. 1289 la aani tyahipeksha mage jatanna shravanbelgolcha shilalekh i.s. 983 la. tyahi mage anek marathiche ullekh, shilalekh sapadtat agadi i.s. 680 chya tamrapatat 'pannas, ani prithvi' he shabda ahet mhanun ti marathichi suruvat ahe ase mananar abhyasak ahet pan bhashatadnyanche tyavar ekmat hot nahi. tyachbarobar 'dharmopadeshmala' (i.","अभ्यासकांना मराठीचा पहिला शिलालेख सापडला तो म्हणजे १) उनकेश्वराचा शिलालेख इ.स. १२८९ ला. आणि त्याहीपेक्षा मागे जातांना श्रवणबेळगोळचा शिलालेख इ.स. ९८३ ला. त्याही मागे अनेक मराठीचे उल्लेख, शिलालेख सापडतात अगदी इ.स. ६८० च्या ताम्रपटात 'पन्नास, आणि प्रिथवी' हे शब्द आहेत म्हणून ती मराठीची सुरुवात आहे असे मानणार अभ्यासक आहेत पण भाषातज्ज्ञांचे त्यावर एकमत होत नाही. त्याचबरोबर 'धर्मोपदेशमाला' (इ."
1,tya sanstheche te vyavasthapakiya sanchalak hote.,त्या संस्थेचे ते व्यवस्थापकीय संचालक होते.
2,dhobi kivva parit ha baara balutedaranpaiki ek ahe.,धोबी किंवा परीट हा बारा बलुतेदारांपैकी एक आहे.
3,shivarayanchi gupt khalbate yethech chalat.,शिवरायांची गुप्त खलबते येथेच चालत.
4,"netaji palkar yanchi samadhi taamsa (taluka. hadgao, ji.nanded) yethe ahe.","नेताजी पालकर यांची समाधी तामसा (तालुका .हदगाव, जि.नांदेड) येथे आहे."
5,"josh talks ek bhartiya start-up media company aahe, yaa company che mukhyalay gurgaon,haryana yethe ahe.","जोश टॉक्स एक भारतीय स्टार्टअप मीडिया कंपनी आहे, या कंपनीचे मुख्यालय गुरगांव, हरियाणा येथे आहे."
6,yaa marathvadyatil samuhache kaam he shramache ahe.,या मराठवाड्यातील समूहाचे काम हे श्रमाचे आहे.
7,joliyat-curie suvarna shanti padkane 1964 puraskrut kele.,जोलियाॅट-क्युरी सुवर्ण शांती पदकाने १९६४ पुरस्क्रुत केले.
8,donhi sthanakakadun roj hi railway dhavte.,दोन्ही स्थानकाकडून रोज ही रेल्वे धावते.
9,1986 - mexicochya diego maradonane englandvirudha hand of god va goal of the century navane prakhyat jhalele goal nondavun vijay milavla.,१९८६ - मेक्सिकोच्या डियेगो माराडोनाने इंग्लंडविरुद्ध हँड ऑफ गॉड व गोल ऑफ द सेन्चुरी नावाने प्रख्यात झालेले गोल नोंदवून विजय मिळवला.
